source_set,source_path,filename,wrapped_count,unwrapped_count,total_boxes,has_label_file
pilot23,basler_120126/Image__2026-01-12__16-32-11.bmp,01__basler_120126__Image__2026-01-12__16-32-11.bmp,10,10,20,yes
pilot23,basler_120126/Image__2026-01-12__16-36-56.bmp,02__basler_120126__Image__2026-01-12__16-36-56.bmp,19,10,29,yes
pilot23,basler_120126/Image__2026-01-12__17-00-15.bmp,03__basler_120126__Image__2026-01-12__17-00-15.bmp,61,10,71,yes
pilot23,basler_120126/Image__2026-01-12__16-33-50.bmp,04__basler_120126__Image__2026-01-12__16-33-50.bmp,6,6,12,yes
pilot23,basler_120126/Image__2026-01-12__16-58-18.bmp,05__basler_120126__Image__2026-01-12__16-58-18.bmp,52,8,60,yes
pilot23,basler_120126/Image__2026-01-12__17-00-05.bmp,06__basler_120126__Image__2026-01-12__17-00-05.bmp,58,9,67,yes
pilot23,basler_OldObj/Image__2025-12-29__16-04-04.bmp,07__basler_OldObj__Image__2025-12-29__16-04-04.bmp,0,1,1,yes
pilot23,basler_OldObj/Image__2025-12-29__16-05-08.bmp,08__basler_OldObj__Image__2025-12-29__16-05-08.bmp,0,7,7,yes
pilot23,basler_OldObj/Image__2025-12-29__16-07-28.bmp,09__basler_OldObj__Image__2025-12-29__16-07-28.bmp,1,9,10,yes
pilot23,basler_OldObj/Image__2025-12-29__16-02-54.bmp,10__basler_OldObj__Image__2025-12-29__16-02-54.bmp,128,10,138,yes
pilot23,basler_OldObj/Image__2025-12-29__16-09-21.bmp,11__basler_OldObj__Image__2025-12-29__16-09-21.bmp,17,4,21,yes
pilot23,basler_OldObj/Image__2025-12-29__16-12-05.bmp,12__basler_OldObj__Image__2025-12-29__16-12-05.bmp,56,7,63,yes
pilot23,basler_tstRGB/RGB_blue_E100000.bmp,13__basler_tstRGB__RGB_blue_E100000.bmp,10,11,21,yes
pilot23,basler_tstRGB/RGB_green_E100000.bmp,14__basler_tstRGB__RGB_green_E100000.bmp,10,11,21,yes
pilot23,basler_tstRGB/upper_white_E12000.bmp,15__basler_tstRGB__upper_white_E12000.bmp,15,11,26,yes
pilot23,basler_tstRGB/RGB_red_E100000.bmp,16__basler_tstRGB__RGB_red_E100000.bmp,10,11,21,yes
pilot23,basler_tstRGB/RGB_white_E100000.bmp,17__basler_tstRGB__RGB_white_E100000.bmp,10,11,21,yes
pilot23,images/20260116_155352_059.bmp,18__images__20260116_155352_059.bmp,1,1,2,yes
pilot23,images/20260116_155328_028.bmp,19__images__20260116_155328_028.bmp,0,0,0,no
pilot23,images/20260116_155349_837.bmp,20__images__20260116_155349_837.bmp,7,3,10,yes
pilot23,images/20260116_155409_927.bmp,21__images__20260116_155409_927.bmp,0,4,4,yes
pilot23,images/20260116_163012_120.bmp,22__images__20260116_163012_120.bmp,45,7,52,yes
pilot23,images/20260116_161622_390.bmp,23__images__20260116_161622_390.bmp,13,1,14,yes
batch_to_50,images/20260116_163827_140.bmp,001__images__20260116_163827_140.bmp,28,3,31,yes
batch_to_50,basler_OldObj/Image__2025-12-29__16-07-33.bmp,002__basler_OldObj__Image__2025-12-29__16-07-33.bmp,2,9,11,yes
batch_to_50,basler_OldObj/Image__2025-12-29__16-07-54.bmp,003__basler_OldObj__Image__2025-12-29__16-07-54.bmp,6,9,15,yes
batch_to_50,images/20260116_163746_627.bmp,004__images__20260116_163746_627.bmp,13,4,17,yes
batch_to_50,basler_OldObj/Image__2025-12-29__16-04-40.bmp,005__basler_OldObj__Image__2025-12-29__16-04-40.bmp,0,5,5,yes
batch_to_50,basler_120126/Image__2026-01-12__16-47-46.bmp,006__basler_120126__Image__2026-01-12__16-47-46.bmp,40,10,50,yes
batch_to_50,images/20260116_163332_308.bmp,007__images__20260116_163332_308.bmp,15,5,20,yes
batch_to_50,images/20260116_161314_255.bmp,008__images__20260116_161314_255.bmp,11,3,14,yes
batch_to_50,basler_120126/Image__2026-01-12__16-50-23.bmp,009__basler_120126__Image__2026-01-12__16-50-23.bmp,45,10,55,yes
batch_to_50,basler_OldObj/Image__2025-12-29__16-08-42.bmp,010__basler_OldObj__Image__2025-12-29__16-08-42.bmp,15,7,22,yes
batch_to_50,images/20260116_155351_182.bmp,011__images__20260116_155351_182.bmp,7,3,10,yes
batch_to_50,basler_OldObj/Image__2025-12-29__16-21-44.bmp,012__basler_OldObj__Image__2025-12-29__16-21-44.bmp,121,5,126,yes
batch_to_50,images/20260116_161425_901.bmp,013__images__20260116_161425_901.bmp,18,5,23,yes
batch_to_50,images/20260116_161621_960.bmp,014__images__20260116_161621_960.bmp,12,1,13,yes
batch_to_50,basler_OldObj/Image__2025-12-29__16-13-11.bmp,015__basler_OldObj__Image__2025-12-29__16-13-11.bmp,100,8,108,yes
batch_to_50,basler_OldObj/Image__2025-12-29__16-09-57.bmp,016__basler_OldObj__Image__2025-12-29__16-09-57.bmp,24,4,28,yes
batch_to_50,basler_120126/Image__2026-01-12__17-00-32.bmp,017__basler_120126__Image__2026-01-12__17-00-32.bmp,63,10,73,yes
batch_to_50,basler_OldObj/Image__2025-12-29__16-32-29.bmp,018__basler_OldObj__Image__2025-12-29__16-32-29.bmp,1,10,11,yes
batch_to_50,basler_OldObj/Image__2025-12-29__16-21-09.bmp,019__basler_OldObj__Image__2025-12-29__16-21-09.bmp,126,0,126,yes
batch_to_50,basler_OldObj/Image__2025-12-29__16-11-13.bmp,020__basler_OldObj__Image__2025-12-29__16-11-13.bmp,43,2,45,yes
batch_to_50,basler_120126/Image__2026-01-12__16-50-37.bmp,021__basler_120126__Image__2026-01-12__16-50-37.bmp,45,10,55,yes
batch_to_50,basler_120126/Image__2026-01-12__17-01-59.bmp,022__basler_120126__Image__2026-01-12__17-01-59.bmp,1,7,8,yes
batch_to_50,basler_120126/Image__2026-01-12__16-45-29.bmp,023__basler_120126__Image__2026-01-12__16-45-29.bmp,11,10,21,yes
batch_to_50,basler_120126/Image__2026-01-12__16-34-15.bmp,024__basler_120126__Image__2026-01-12__16-34-15.bmp,12,10,22,yes
batch_to_50,basler_OldObj/Image__2025-12-29__16-22-13.bmp,025__basler_OldObj__Image__2025-12-29__16-22-13.bmp,125,9,134,yes
batch_to_50,images/20260116_160706_243.bmp,026__images__20260116_160706_243.bmp,4,3,7,yes
batch_to_50,basler_120126/Image__2026-01-12__16-34-57.bmp,027__basler_120126__Image__2026-01-12__16-34-57.bmp,14,10,24,yes
