set_name,order,group,source_path,cvat_filename
batch_to_125,1,images,images/20260116_163004_092.bmp,001__images__20260116_163004_092.bmp
batch_to_125,2,basler_120126,basler_120126/Image__2026-01-12__16-34-45.bmp,002__basler_120126__Image__2026-01-12__16-34-45.bmp
batch_to_125,3,basler_OldObj,basler_OldObj/Image__2025-12-29__16-03-48.bmp,003__basler_OldObj__Image__2025-12-29__16-03-48.bmp
batch_to_125,4,basler_OldObj,basler_OldObj/Image__2025-12-29__16-06-32.bmp,004__basler_OldObj__Image__2025-12-29__16-06-32.bmp
batch_to_125,5,basler_OldObj,basler_OldObj/Image__2025-12-29__16-31-03.bmp,005__basler_OldObj__Image__2025-12-29__16-31-03.bmp
batch_to_125,6,basler_OldObj,basler_OldObj/Image__2025-12-29__16-11-37.bmp,006__basler_OldObj__Image__2025-12-29__16-11-37.bmp
batch_to_125,7,basler_OldObj,basler_OldObj/Image__2025-12-29__16-31-58.bmp,007__basler_OldObj__Image__2025-12-29__16-31-58.bmp
batch_to_125,8,basler_OldObj,basler_OldObj/Image__2025-12-29__16-21-40.bmp,008__basler_OldObj__Image__2025-12-29__16-21-40.bmp
batch_to_125,9,images,images/20260116_161519_179.bmp,009__images__20260116_161519_179.bmp
batch_to_125,10,basler_120126,basler_120126/Image__2026-01-12__16-47-08.bmp,010__basler_120126__Image__2026-01-12__16-47-08.bmp
batch_to_125,11,basler_OldObj,basler_OldObj/Image__2025-12-29__16-08-33.bmp,011__basler_OldObj__Image__2025-12-29__16-08-33.bmp
batch_to_125,12,basler_120126,basler_120126/Image__2026-01-12__17-01-23.bmp,012__basler_120126__Image__2026-01-12__17-01-23.bmp
batch_to_125,13,images,images/20260116_163503_468.bmp,013__images__20260116_163503_468.bmp
batch_to_125,14,basler_OldObj,basler_OldObj/Image__2025-12-29__16-09-49.bmp,014__basler_OldObj__Image__2025-12-29__16-09-49.bmp
batch_to_125,15,basler_120126,basler_120126/Image__2026-01-12__16-37-46.bmp,015__basler_120126__Image__2026-01-12__16-37-46.bmp
batch_to_125,16,basler_120126,basler_120126/Image__2026-01-12__16-33-42.bmp,016__basler_120126__Image__2026-01-12__16-33-42.bmp
batch_to_125,17,images,images/20260116_163317_174.bmp,017__images__20260116_163317_174.bmp
batch_to_125,18,images,images/20260116_160753_410.bmp,018__images__20260116_160753_410.bmp
batch_to_125,19,basler_120126,basler_120126/Image__2026-01-12__16-58-30.bmp,019__basler_120126__Image__2026-01-12__16-58-30.bmp
batch_to_125,20,basler_120126,basler_120126/Image__2026-01-12__17-04-34.bmp,020__basler_120126__Image__2026-01-12__17-04-34.bmp
batch_to_125,21,basler_120126,basler_120126/Image__2026-01-12__16-48-48.bmp,021__basler_120126__Image__2026-01-12__16-48-48.bmp
batch_to_125,22,images,images/20260116_161115_287.bmp,022__images__20260116_161115_287.bmp
batch_to_125,23,basler_OldObj,basler_OldObj/Image__2025-12-29__16-13-47.bmp,023__basler_OldObj__Image__2025-12-29__16-13-47.bmp
batch_to_125,24,images,images/20260116_155425_456.bmp,024__images__20260116_155425_456.bmp
batch_to_125,25,images,images/20260116_163936_858.bmp,025__images__20260116_163936_858.bmp
