set_name,order,group,source_path,cvat_filename
batch_to_75,1,basler_OldObj,basler_OldObj/Image__2025-12-29__16-02-21.bmp,001__basler_OldObj__Image__2025-12-29__16-02-21.bmp
batch_to_75,2,basler_120126,basler_120126/Image__2026-01-12__16-32-51.bmp,002__basler_120126__Image__2026-01-12__16-32-51.bmp
batch_to_75,3,images,images/20260116_163556_878.bmp,003__images__20260116_163556_878.bmp
batch_to_75,4,basler_OldObj,basler_OldObj/Image__2025-12-29__16-06-19.bmp,004__basler_OldObj__Image__2025-12-29__16-06-19.bmp
batch_to_75,5,images,images/20260116_163241_618.bmp,005__images__20260116_163241_618.bmp
batch_to_75,6,basler_OldObj,basler_OldObj/Image__2025-12-29__16-10-25.bmp,006__basler_OldObj__Image__2025-12-29__16-10-25.bmp
batch_to_75,7,images,images/20260116_161550_834.bmp,007__images__20260116_161550_834.bmp
batch_to_75,8,basler_120126,basler_120126/Image__2026-01-12__17-01-40.bmp,008__basler_120126__Image__2026-01-12__17-01-40.bmp
batch_to_75,9,images,images/20260116_155334_706.bmp,009__images__20260116_155334_706.bmp
batch_to_75,10,basler_OldObj,basler_OldObj/Image__2025-12-29__16-11-44.bmp,010__basler_OldObj__Image__2025-12-29__16-11-44.bmp
batch_to_75,11,basler_120126,basler_120126/Image__2026-01-12__16-51-20.bmp,011__basler_120126__Image__2026-01-12__16-51-20.bmp
batch_to_75,12,basler_OldObj,basler_OldObj/Image__2025-12-29__16-21-48.bmp,012__basler_OldObj__Image__2025-12-29__16-21-48.bmp
batch_to_75,13,basler_120126,basler_120126/Image__2026-01-12__16-47-16.bmp,013__basler_120126__Image__2026-01-12__16-47-16.bmp
batch_to_75,14,basler_120126,basler_120126/Image__2026-01-12__16-48-58.bmp,014__basler_120126__Image__2026-01-12__16-48-58.bmp
batch_to_75,15,basler_OldObj,basler_OldObj/Image__2025-12-29__16-20-45.bmp,015__basler_OldObj__Image__2025-12-29__16-20-45.bmp
batch_to_75,16,basler_OldObj,basler_OldObj/Image__2025-12-29__16-09-28.bmp,016__basler_OldObj__Image__2025-12-29__16-09-28.bmp
batch_to_75,17,basler_OldObj,basler_OldObj/Image__2025-12-29__16-32-34.bmp,017__basler_OldObj__Image__2025-12-29__16-32-34.bmp
batch_to_75,18,basler_OldObj,basler_OldObj/Image__2025-12-29__16-19-35.bmp,018__basler_OldObj__Image__2025-12-29__16-19-35.bmp
batch_to_75,19,basler_120126,basler_120126/Image__2026-01-12__16-36-30.bmp,019__basler_120126__Image__2026-01-12__16-36-30.bmp
batch_to_75,20,images,images/20260116_161622_847.bmp,020__images__20260116_161622_847.bmp
batch_to_75,21,basler_120126,basler_120126/Image__2026-01-12__16-34-27.bmp,021__basler_120126__Image__2026-01-12__16-34-27.bmp
batch_to_75,22,images,images/20260116_161116_177.bmp,022__images__20260116_161116_177.bmp
batch_to_75,23,images,images/20260116_163828_028.bmp,023__images__20260116_163828_028.bmp
batch_to_75,24,basler_120126,basler_120126/Image__2026-01-12__17-05-33.bmp,024__basler_120126__Image__2026-01-12__17-05-33.bmp
batch_to_75,25,images,images/20260116_160700_451.bmp,025__images__20260116_160700_451.bmp
