set_name,order,group,source_path,cvat_filename
batch_to_100,1,basler_120126,basler_120126/Image__2026-01-12__17-01-07.bmp,001__basler_120126__Image__2026-01-12__17-01-07.bmp
batch_to_100,2,basler_OldObj,basler_OldObj/Image__2025-12-29__16-21-30.bmp,002__basler_OldObj__Image__2025-12-29__16-21-30.bmp
batch_to_100,3,basler_120126,basler_120126/Image__2026-01-12__16-36-17.bmp,003__basler_120126__Image__2026-01-12__16-36-17.bmp
batch_to_100,4,basler_OldObj,basler_OldObj/Image__2025-12-29__16-08-56.bmp,004__basler_OldObj__Image__2025-12-29__16-08-56.bmp
batch_to_100,5,basler_OldObj,basler_OldObj/Image__2025-12-29__16-11-19.bmp,005__basler_OldObj__Image__2025-12-29__16-11-19.bmp
batch_to_100,6,basler_120126,basler_120126/Image__2026-01-12__16-32-40.bmp,006__basler_120126__Image__2026-01-12__16-32-40.bmp
batch_to_100,7,basler_120126,basler_120126/Image__2026-01-12__16-46-40.bmp,007__basler_120126__Image__2026-01-12__16-46-40.bmp
batch_to_100,8,basler_120126,basler_120126/Image__2026-01-12__17-06-02.bmp,008__basler_120126__Image__2026-01-12__17-06-02.bmp
batch_to_100,9,basler_OldObj,basler_OldObj/Image__2025-12-29__16-32-21.bmp,009__basler_OldObj__Image__2025-12-29__16-32-21.bmp
batch_to_100,10,images,images/20260116_160723_135.bmp,010__images__20260116_160723_135.bmp
batch_to_100,11,basler_OldObj,basler_OldObj/Image__2025-12-29__16-17-17.bmp,011__basler_OldObj__Image__2025-12-29__16-17-17.bmp
batch_to_100,12,basler_120126,basler_120126/Image__2026-01-12__16-58-42.bmp,012__basler_120126__Image__2026-01-12__16-58-42.bmp
batch_to_100,13,basler_OldObj,basler_OldObj/Image__2025-12-29__16-09-42.bmp,013__basler_OldObj__Image__2025-12-29__16-09-42.bmp
batch_to_100,14,images,images/20260116_161337_371.bmp,014__images__20260116_161337_371.bmp
batch_to_100,15,basler_OldObj,basler_OldObj/Image__2025-12-29__16-22-08.bmp,015__basler_OldObj__Image__2025-12-29__16-22-08.bmp
batch_to_100,16,basler_OldObj,basler_OldObj/Image__2025-12-29__16-07-22.bmp,016__basler_OldObj__Image__2025-12-29__16-07-22.bmp
batch_to_100,17,images,images/20260116_163934_190.bmp,017__images__20260116_163934_190.bmp
batch_to_100,18,images,images/20260116_163213_576.bmp,018__images__20260116_163213_576.bmp
batch_to_100,19,images,images/20260116_155453_069.bmp,019__images__20260116_155453_069.bmp
batch_to_100,20,images,images/20260116_161606_832.bmp,020__images__20260116_161606_832.bmp
batch_to_100,21,images,images/20260116_163747_959.bmp,021__images__20260116_163747_959.bmp
batch_to_100,22,basler_OldObj,basler_OldObj/Image__2025-12-29__16-04-46.bmp,022__basler_OldObj__Image__2025-12-29__16-04-46.bmp
batch_to_100,23,basler_120126,basler_120126/Image__2026-01-12__16-48-35.bmp,023__basler_120126__Image__2026-01-12__16-48-35.bmp
batch_to_100,24,basler_120126,basler_120126/Image__2026-01-12__16-46-52.bmp,024__basler_120126__Image__2026-01-12__16-46-52.bmp
batch_to_100,25,images,images/20260116_163149_972.bmp,025__images__20260116_163149_972.bmp
